Title,Journal,Year,Status,Authors,Link
Lists with and without syntax: A new approach to measuring the neural processing of syntax,Journal of Neuroscience,2021,published,"Ryan Law, Liina Pylkk&auml;nen",https://www.jneurosci.org/content/early/2021/01/26/JNEUROSCI.1179-20.2021
Neural correlates of modal displacement and discourse-updating under (un)certainty,eNeuro,2020,published,"Maxime Tulling, Ryan Law, Ail&iacute;s Cournane, Liina Pylkk&auml;nen",https://www.eneuro.org/content/8/1/ENEURO.0290-20.2020
